date,region,cases,import_status
2020-04-28,BAJA CALIFORNIA,90.0,local
2020-04-29,BAJA CALIFORNIA,104.0,local
2020-04-30,BAJA CALIFORNIA,62.0,local
2020-05-01,BAJA CALIFORNIA,12.0,local
2020-05-02,BAJA CALIFORNIA,13.0,local
2020-05-03,BAJA CALIFORNIA,78.0,local
2020-05-04,BAJA CALIFORNIA,148.0,local
2020-05-05,BAJA CALIFORNIA,181.0,local
2020-05-06,BAJA CALIFORNIA,108.0,local
2020-05-07,BAJA CALIFORNIA,79.0,local
2020-05-08,BAJA CALIFORNIA,100.0,local
2020-05-09,BAJA CALIFORNIA,89.0,local
2020-05-10,BAJA CALIFORNIA,63.0,local
2020-05-11,BAJA CALIFORNIA,20.0,local
2020-05-12,BAJA CALIFORNIA,128.0,local
2020-05-13,BAJA CALIFORNIA,188.0,local
2020-05-14,BAJA CALIFORNIA,92.0,local
2020-05-15,BAJA CALIFORNIA,184.0,local
2020-05-16,BAJA CALIFORNIA,128.0,local
2020-05-17,BAJA CALIFORNIA,87.0,local
2020-05-18,BAJA CALIFORNIA,75.0,local
2020-05-19,BAJA CALIFORNIA,157.0,local
2020-05-20,BAJA CALIFORNIA,116.0,local
2020-05-21,BAJA CALIFORNIA,177.0,local
2020-05-22,BAJA CALIFORNIA,164.0,local
2020-05-23,BAJA CALIFORNIA,153.0,local
2020-05-24,BAJA CALIFORNIA,121.0,local
2020-05-25,BAJA CALIFORNIA,32.0,local
2020-05-26,BAJA CALIFORNIA,171.0,local
2020-05-27,BAJA CALIFORNIA,169.0,local
2020-05-28,BAJA CALIFORNIA,187.0,local
2020-05-29,BAJA CALIFORNIA,109.0,local
2020-05-30,BAJA CALIFORNIA,141.0,local
2020-05-31,BAJA CALIFORNIA,48.0,local
2020-06-01,BAJA CALIFORNIA,52.0,local
2020-06-02,BAJA CALIFORNIA,104.0,local
2020-06-03,BAJA CALIFORNIA,229.0,local
2020-06-04,BAJA CALIFORNIA,144.0,local
2020-06-05,BAJA CALIFORNIA,180.0,local
2020-06-06,BAJA CALIFORNIA,192.0,local
2020-06-07,BAJA CALIFORNIA,111.0,local
2020-06-08,BAJA CALIFORNIA,51.0,local
2020-06-09,BAJA CALIFORNIA,159.0,local
2020-06-10,BAJA CALIFORNIA,139.0,local
2020-06-11,BAJA CALIFORNIA,184.0,local
2020-06-12,BAJA CALIFORNIA,146.0,local
2020-06-13,BAJA CALIFORNIA,86.0,local
2020-06-14,BAJA CALIFORNIA,43.0,local
2020-06-15,BAJA CALIFORNIA,144.0,local
2020-06-16,BAJA CALIFORNIA,81.0,local
2020-06-17,BAJA CALIFORNIA,122.0,local
2020-06-18,BAJA CALIFORNIA,161.0,local
2020-06-19,BAJA CALIFORNIA,156.0,local
2020-06-20,BAJA CALIFORNIA,152.0,local
2020-06-21,BAJA CALIFORNIA,79.0,local
2020-06-22,BAJA CALIFORNIA,108.0,local
2020-06-23,BAJA CALIFORNIA,159.0,local
2020-06-24,BAJA CALIFORNIA,107.0,local
2020-06-25,BAJA CALIFORNIA,108.0,local
2020-06-26,BAJA CALIFORNIA,215.0,local
2020-04-01,BAJA CALIFORNIA SUR,-8468.0,local
2020-04-02,BAJA CALIFORNIA SUR,1.0,local
2020-04-03,BAJA CALIFORNIA SUR,1.0,local
2020-04-04,BAJA CALIFORNIA SUR,7.0,local
2020-04-05,BAJA CALIFORNIA SUR,1.0,local
2020-04-06,BAJA CALIFORNIA SUR,25.0,local
2020-04-07,BAJA CALIFORNIA SUR,2.0,local
2020-04-08,BAJA CALIFORNIA SUR,12.0,local
2020-04-09,BAJA CALIFORNIA SUR,0.0,local
2020-04-10,BAJA CALIFORNIA SUR,17.0,local
2020-04-11,BAJA CALIFORNIA SUR,17.0,local
2020-04-12,BAJA CALIFORNIA SUR,18.0,local
2020-04-13,BAJA CALIFORNIA SUR,33.0,local
2020-04-14,BAJA CALIFORNIA SUR,11.0,local
2020-04-15,BAJA CALIFORNIA SUR,1.0,local
2020-04-16,BAJA CALIFORNIA SUR,1.0,local
